product_name,actual_price,discount_price,description,processor,ram,storage,graphic_card,display_size,battery,resolution,ports,operating_system,image_link,product_link
Laptop Dell XPS 15 9520,Giá Liên Hệ,Giá Liên Hệ,"Tấm nền OLED hỗ trợ cảm ứng đa điểm, cho phép bạn thao tác trực tiếp lên màn hình
Bộ vi xử lý Intel Core i9 12900HK cân mọi tác vụ công việc, thoải mái sáng tạo, khởi chạy những tác vụ nặng một cách mượt mà
Card đồ họa NVIDIA GeForce RTX 3050 Ti hỗ trợ chỉnh sửa ảnh, video, dựng hình 3D, lập trình và nhiều hoạt động chuyên sâu khác
RAM 16GB cùng ổ cứng SSD 512GB cho khả năng xử lý đa nhiệm, mở máy, mở ứng dụng chỉ trong tích tắc
Cảm biến vân tay mở khóa máy ngay lập tức mà không cần mật khẩu
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-xps-15-9520.html
Laptop Dell XPS 13 9350,Giá Liên Hệ,Giá Liên Hệ,"Sở hữu hiết kế siêu mỏng với độ dày chỉ 15 mm cùng kích thước 13.3 inch di động dễ dàng mang theo mọi nơi.
Màn hình cảm ứng IPS cùng độ phân giải 3200 x 1800 pixels cho hình ảnh cực nét, chân thực.
Cấu hình mạnh mẽ với chip Intel Core i7 và RAM 8 GB giúp máy chạy cùng lúc nhiều chương trình mà vẫn đảm bảo sự mượt mà.
Ổ cứng SSD 256 GB có tốc độ truy xuất cao giúp khởi động máy hay sao chép dữ liệu nhanh chóng.
Hệ điều hành Windows 10 bản quyền với giao diện đẹp và nhiều tính năng hữu ích.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-xps-13-9350.html
Laptop Dell XPS 9320,Giá Liên Hệ,Giá Liên Hệ,"CPU Intel Core i7 1260P kết hợp với card Iris Xe Graphics xử lý chuyên nghiệp các tác vụ chỉnh sửa hình ảnh, thiết kế poster, banner,...
RAM 16 GB chuẩn LPDDR5 mạnh mẽ, không gian lưu trữ rộng rãi nhờ ổ cứng 512 GB SSD, đồng thời gia tăng tốc độ đọc ghi nhanh chóng hơn đáng kể.
Thiết kế cao cấp - sang trọng với áo nhôm màu bạc tuyệt mỹ. Cân nặng 1.26 kg gọn nhẹ dễ dàng di chuyển đến khắp mọi nơi.
Nhân đôi bảo mật với công nghệ bảo mật vân tay và mở khóa bằng khuôn mặt, đi kèm camera IR hồng ngoại dễ dàng mở máy ngay cả trong bóng tối.
Laptop có màn hình OLED cảm ứng giúp các thao tác sử dụng được linh hoạt hơn.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-xps-9320.html
Laptop Dell Inspiron 5310,Giá Liên Hệ,Giá Liên Hệ,"Mang thiết kế chắc chắn, nhưng trọng lượng chỉ 1.28kg cho bạn dễ dàng mang theo bên mình
Hiệu năng tốt đên từ con chip i3-1125G4 cho bạn xử lý ổn các tác vụ văn phòng
Màn hình 13.3 inch Full HD+ cho ra những thước phim, hình ảnh sắc nét
RAM 8GB cùng SSD 256 đủ dùng, lưu trữ tài liệu tốt
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-5310.html
Laptop Dell Latitude E7440,Giá Liên Hệ,Giá Liên Hệ,"Trợ thủ đắc lực cho dân văn phòng với cân nặng chỉ 1.63kg dễ dàng bỏ vào balo
Màn hình 14 inch độ phân giải 1366 x 768 px cho hình ảnh rõ nét, chất lượng cao
CPU Core i5 giúp xử lý nhanh mọi tác vụ mượt mà
RAM 8GB đa nhiệm cùng ổ cứng 128GB hỗ trợ mở máy, khởi động ứng dụng nhanh chóng
Trang bị đa dạng cổng kết nối, hỗ trợ truyền tải dữ liệu chỉ trong giây lát
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-latitude-e7440.html
Laptop Dell Latitude E7470,Giá Liên Hệ,Giá Liên Hệ,"Thiết kế thanh lịch với các góc bo nhẹ, mềm mại
Màn hình 14 inch cùng độ phân giải Full HD cho hình ảnh chân thực, sắc nét
CPU Intel Core i5-6300U cân mọi tác vụ văn phòng cho đến học tập
RAM 8GB đa nhiệm hỗ trợ mở nhiều tab duyệt web cùng lúc
Ổ cứng 256GB cho không gian lưu trữ đủ dùng khi sao lưu các file làm việc, dữ liệu học tập
Hỗ trợ đa dạng cổng kết nối: HDMI, USB 3.0, Mini DisplayPort,...
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-latitude-e7470.html
Laptop Dell XPS 13 9305,Giá Liên Hệ,Giá Liên Hệ,"Sở hữu thiết kế cực kỳ sang chảnh với nhôm nguyên khối vô cùng chắc chắn.
Laptop có tính cơ động cao, thuận tiện cho việc di chuyển với trọng lượng chỉ 1.29 kg.
Vi xử lý Intel Core i5-1135G7 đi kèm với card đồ hoạ Intel Iris Xe giúp bạn chỉnh sửa ảnh hay video cơ bản một cách dễ dàng.
Cảm biến vân tay tích hợp trên phím nguồn giúp mở máy nhanh chóng và bảo mật được nâng cao hơn.
Máy được trang bị các cổng kết nối như: USB Type-C, Jack tai nghe và Thunderbolt cho khả năng truy xuất, truyền tải dữ liệu nhanh hơn.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-xps-13-9305.html
Laptop Dell XPS 13 9370,Giá Liên Hệ,Giá Liên Hệ,"CPU Intel Core i7 8550U hiệu năng mạnh mẽ giúp bạn giải quyết tốt mọi công việc hàng ngày.
RAM 8 GB đa nhiệm nhanh chóng, thiết kế đồ họa, chỉnh sửa ảnh mượt mà.
Laptop siêu mỏng nhẹ với vỏ kim loại nguyên khối, trọng lượng 1.21 kg dễ dàng mang theo đến bất cứ đâu. 
Ổ cứng SSD 256 GB vận hành nhanh chóng, mở máy chỉ trong tích tắc.
Màn hình 13.3 inch Full HD cho hình ảnh sắc nét, màu sắc tái hiện một cách chân thực nhất.
Tấm nền IPS cho góc nhìn rộng, hình ảnh không bị biến đổi từ mọi góc nhìn. 
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-xps-13-9370.html
Laptop Dell XPS 15 9570,Giá Liên Hệ,Giá Liên Hệ,"Sở hữu kích thước gọn nhẹ với màn hình viền siêu mỏng, trọng lượng chỉ 1.8 Kg dễ dàng bỏ vào balo
CPU Intel Core i7-8750H kết hợp cùng card GTX 1050Ti 4GB GDDR5 phục vụ chuyên sâu thiết kế, sáng tạo nội dung,...
RAM 16GB cho phép mở nhiều tab duyệt web cùng lúc
256GB SSD hỗ trợ mở máy, mở ứng dụng nhanh chóng, lưu trữ tệp, dữ liệu thoải mái
Đa dạng cổng kết nối thông dụng giúp liên kết với nhiều thiết bị
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-xps-15-9570.html
Laptop Dell Latitude 7280,Giá Liên Hệ,Giá Liên Hệ,"Trang bị con chip Intel Core i5 - 6200U cùng card Intel HD Graphics cho bạn xử lý ổn thỏa các tác vụ văn phòng
RAM 8GB cùng SSD 240GB cho bạn mở ổn thỏa nhiều tab nhưng không lo giật lag
Màn hình 12.5 inch Full HD giúp bạn xem hình ảnh, video một cách ổn thỏa
Trọng lượng laptop mỏng nhẹ chỉ 1.18kg giúp bạn thoải mái mang theo bên mình
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-latitude-7280.html
